Data_file_name,Column_name,Shapefile,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_70,VAR_2_70,Individual,Census usually resident population count,2023,Count,Usual residence 5 years ago indicator,Total,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 5 years ago indicator (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_71,VAR_2_71,Individual,Census usually resident population count,2023,Count,Usual residence 5 years ago indicator,Total stated,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 5 years ago indicator (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_72,VAR_2_72,Individual,Census usually resident population count,2013,Count,Years at usual residence,0 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Years at usual residence (0 years)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_73,VAR_2_73,Individual,Census usually resident population count,2013,Count,Years at usual residence,1-4 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Years at usual residence (1-4 years)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_74,VAR_2_74,Individual,Census usually resident population count,2013,Count,Years at usual residence,5-9 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Years at usual residence (5-9 years)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_75,VAR_2_75,Individual,Census usually resident population count,2013,Count,Years at usual residence,10-14 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Years at usual residence (10-14 years)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_76,VAR_2_76,Individual,Census usually resident population count,2013,Count,Years at usual residence,15-29 years,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Years at usual residence (15-29 years)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_77,VAR_2_77,Individual,Census usually resident population count,2013,Count,Years at usual residence,30 years or more,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Years at usual residence (30 years or more)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_78,VAR_2_78,Individual,Census usually resident population count,2013,Count,Years at usual residence,Not elsewhere included,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Years at usual residence (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_79,VAR_2_79,Individual,Census usually resident population count,2013,Count,Years at usual residence,Total,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Years at usual residence (Total)"
