Data_file_name,Column_name,Shapefile_name,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_68,VAR_4_68,Household,Households in occupied private dwellings,2018,Count,Household composition,Three or more family household (with or without other people),"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household composition (Three or more family household (with or without other people))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_69,VAR_4_69,Household,Households in occupied private dwellings,2018,Count,Household composition,Other multi-person household,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household composition (Other multi-person household)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_70,VAR_4_70,Household,Households in occupied private dwellings,2018,Count,Household composition,One-person household,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household composition (One-person household)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_71,VAR_4_71,Household,Households in occupied private dwellings,2018,Count,Household composition,Household composition unidentifiable,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household composition (Household composition unidentifiable)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_72,VAR_4_72,Household,Households in occupied private dwellings,2018,Count,Household composition,Total,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household composition (Total)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_73,VAR_4_73,Household,Households in occupied private dwellings,2018,Count,Household composition,Total stated,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household composition (Total stated)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_74,VAR_4_74,Household,Households in occupied private dwellings,2023,Count,Household composition,One-family household (with or without other people),"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household composition (One-family household (with or without other people))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_75,VAR_4_75,Household,Households in occupied private dwellings,2023,Count,Household composition,Two-family household (with or without other people),"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household composition (Two-family household (with or without other people))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_76,VAR_4_76,Household,Households in occupied private dwellings,2023,Count,Household composition,Three or more family household (with or without other people),"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household composition (Three or more family household (with or without other people))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_77,VAR_4_77,Household,Households in occupied private dwellings,2023,Count,Household composition,Other multi-person household,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household composition (Other multi-person household)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_78,VAR_4_78,Household,Households in occupied private dwellings,2023,Count,Household composition,One-person household,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household composition (One-person household)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_79,VAR_4_79,Household,Households in occupied private dwellings,2023,Count,Household composition,Household composition unidentifiable,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household composition (Household composition unidentifiable)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_80,VAR_4_80,Household,Households in occupied private dwellings,2023,Count,Household composition,Total,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household composition (Total)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_81,VAR_4_81,Household,Households in occupied private dwellings,2023,Count,Household composition,Total stated,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household composition (Total stated)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_82,VAR_4_82,Household,Households in occupied private dwellings,2013,Count,Number of usual residents in household,One usual resident,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Number of usual residents in household (One usual resident)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_83,VAR_4_83,Household,Households in occupied private dwellings,2013,Count,Number of usual residents in household,Two usual residents,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Number of usual residents in household (Two usual residents)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_84,VAR_4_84,Household,Households in occupied private dwellings,2013,Count,Number of usual residents in household,Three usual residents,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Number of usual residents in household (Three usual residents)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_85,VAR_4_85,Household,Households in occupied private dwellings,2013,Count,Number of usual residents in household,Four usual residents,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Number of usual residents in household (Four usual residents)"
